rating,title,text,helpful_vote,verified_purchase,timestamp,asin,parent_asin
1.0,Gasoline!! Seriously reeks of gasoline!,"Opened the package & instant migraine. I cannot believe the stench.  I have purchased other packages that did not smell at all so I do not know if these were a damaged shipment or damaged during packaging or what, but the minute I opened the Amazon package I smelled it before I even opened the Terra Tattoos package. I couldn’t believe it. Then I find that the pink inks from the back have smeared all over the fronts of the tattoos. Yes, you eventually take the clear part off to apply the tattoo, but I always lay it down with the clear covering first to line it up & I didn’t want to risk the pink ink transferring to my art projects so it’s going back. I’ll update the review when Amazon sends my replacement. I’m upset because now my resin is here & I don’t have the tattoos to do my project, but I’m more mad about the fact that I have a massive migraine because of the gasoline fumes that lingered.  I believe they arrived a week ago, but I didn’t check the tattoos then as I didn’t have resin & the smell of gasoline is just as string toast when I opened them to check them as it was last week when I forgot to start the return. I’ve been sick or I would have done it already.  I really hope the replacement tattoos are okay.",0,True,1616743454733,B00Z03RC80,B00Z03RC80
1.0,Useless!  These have massive gaps at pump nozzle.,"Tops the list for worst purchase. Tried these for alcohol inks.  Half won’t spray. My mistake was not checking that every bottle would spray before filling them. I only checked 2. They both sprayed so I proceeded. What a nightmare. There is a gap where the pump is so if you shake your ink up and down it literally comes out the top which is why these are such a mess and if you knock it over the ink escapes.  Luckily I worked over my sink or the mess would have been worse, but I’m still wearing  a lot of ink days later.  These were a debacle start to finish.  I should have checked the bottles better before putting my ink in. 1/4 work okay, but will still spill ink if knocked over or shaken. 1/4 spray, but the spray is like a diagonal slash pattern not a nice round spray pattern  1/2 won’t spray at all.  Literally worst amazon purchase ever & now my inks are trapped in an item I need to return!!!  Ugh.",0,True,1614915977684,B085PRT2MP,B085PRT2MP
5.0,Hailey loves unicorns!,Bought this for my granddaughter.  Her entire family including her 4 siblings & mom & dad love doing these.,0,True,1612052493701,B08G81QQ9L,B08G81QQ9L
1.0,Not sharp enough to cut smoothly.,"These are extremely dull and will wreck your nails. They were not sharpened apparently.  It’s a complete waste of money, but luckily Amazon refunded me.",0,True,1609700981786,B07YYG76X1,B07YYG76X1
3.0,"Pretty, but didn’t close correctly.","Mine wouldn’t close correctly so I sent it back. It’s pretty and useful, but expect it to close properly.",0,True,1581313195358,B0761M33BX,B07X4FKLNK
1.0,Unbottled disappointment,"I don't often leave negative feedback about products - it really has to be a pretty poorly made product for that to happen. Unfortunately, these bottles are super leaky, even with the rollerball tightly secured and the lid properly screwed on. The screw-on lids seem a poor fit for the bottles, and one of them leaked all over a leather purse in which the bottle was being carried, ruining it. (First world problems, I know). I contacted Amazon to see about a refund, but the only way they would refund the purchase is if I returned the bottles - which are filled with essential oil blends, and I would have to dump it all out to send the bottles back, or buy another set of bottles and try to transfer the oil over. For $9 it wasn't worth all that, even with the $5 additional credit they offered, so I had to chalk this up as a loss and a &#34;buyer beware - read the reviews!&#34; So please - read the reviews. I'm not the only one who had this problem! (Also, note the number of people who received a discount or received this product for free in exchange for leaving a review).",3,False,1449017348000,B010TWN80W,B010TWN80W
1.0,"Not pink, doesn't plump.","Based on other reviews, I thought this would be a great product. I was surprised and disappointed to discover that this shade is truly colorless on my lips, and it doesn't possess any noticeable plumping factor. Also, other reviewers mentioned that this burns quite a bit and I totally disagree. There is some level of slight burning but it's very subtle. I've tried other lip plumpers that work much better, such as the Physician's Formula Plump Potion. While very sticky, that particular gloss does do what it's advertised to do. The NYX Pump it Up gloss really isn't worth the money. Anyway, people looking for long-lasting plumping won't really get results from a lip gloss - that usually requires some sort of collagen injection, and I'm not about to go there. I'll just have to be satisfied with my less-than-Angelina pout and chalk it up to genetics. :-)",1,True,1354389166000,B0057RK78G,B00D3L0MEM
5.0,Five Stars,This stuff smells amazing.... got it for my man. I really like it,0,True,1458095420000,B00YAZBWZI,B00YAZBWZI
3.0,OK,"I have used PFB vanish normally and decided to try this set instead. Its OK nothing spectacular. Very heavy alcohol with the tend skin, it does work however but its just OK in my book. I will definitely keep and use but not sure I'd repurchase. The roller/travel item- its nice that it can be refilled but just doesn't work all that well.",0,True,1458094710000,B007Z2R15I,B007Z2R15I
4.0,Neutral set flatters most,Nice set at a reasonable price. I got a few for gifts. I will say the lipstick is a bit grainy/dry but the color is very pretty. I mix it with balm or gloss to wear,0,True,1454675735000,B00JIIUJ5Q,B00JIIUJ5Q
